treatment,group,image_number,cell_label,cell_area,granule_count,granules_per_area
GLU-40min,R326H,7,40,197.9964,1,0.0050505968795392245
GLU-40min,R326H,7,42,108.24839999999999,1,0.009238011832045555
GLU-40min,R326H,7,43,296.29799999999994,0,0.0
GLU-40min,R326H,7,45,267.72119999999995,5,0.01867614518387039
GLU-40min,R326H,7,46,159.21359999999999,0,0.0
GLU-40min,R326H,7,47,123.5736,0,0.0
GLU-40min,R326H,7,48,327.888,9,0.027448397013614408
GLU-40min,R326H,7,49,182.08799999999997,0,0.0
GLU-40min,R326H,7,50,129.1788,0,0.0
GLU-40min,R326H,7,51,245.49479999999997,1,0.004073406035484255
GLU-40min,R326H,7,52,179.72279999999998,2,0.011128248613976637
GLU-40min,R326H,7,53,213.22439999999997,1,0.004689894777520772
GLU-40min,R326H,7,54,134.49239999999998,2,0.014870728754933367
GLU-40min,R326H,7,55,127.818,2,0.015647248431363343
GLU-40min,R326H,7,56,146.86919999999998,0,0.0
GLU-40min,R326H,7,58,70.30799999999999,0,0.0
GLU-40min,R326H,7,59,182.08799999999997,5,0.027459250472299114
GLU-40min,R326H,7,60,168.7716,0,0.0
GLU-40min,R326H,8,3,137.95919999999998,1,0.007248519852246172
GLU-40min,R326H,8,4,178.2,0,0.0
GLU-40min,R326H,8,5,100.63439999999999,0,0.0
GLU-40min,R326H,8,6,108.1188,1,0.009249085265467246
GLU-40min,R326H,8,7,125.7768,1,0.007950591842056723
GLU-40min,R326H,8,8,240.82920000000001,2,0.008304640799371505
GLU-40min,R326H,8,9,208.91519999999997,6,0.02871978678430292
GLU-40min,R326H,8,10,261.954,2,0.0076349282698489045
GLU-40min,R326H,8,11,162.4536,0,0.0
GLU-40min,R326H,8,12,196.82999999999998,5,0.02540263171264543
GLU-40min,R326H,8,13,197.93159999999997,0,0.0
GLU-40min,R326H,8,14,151.5024,0,0.0
GLU-40min,R326H,8,15,108.57239999999999,0,0.0
GLU-40min,R326H,8,16,259.32959999999997,3,0.011568289929109521
GLU-40min,R326H,8,17,131.2848,0,0.0
GLU-40min,R326H,8,18,213.9372,0,0.0
GLU-40min,R326H,8,19,200.23199999999997,1,0.004994206720204564
GLU-40min,R326H,8,20,114.98759999999999,1,0.00869658989317109
GLU-40min,R326H,8,21,139.9356,1,0.007146144369267006
GLU-40min,R326H,8,22,157.8852,3,0.019001147669319228
GLU-40min,R326H,8,23,133.03439999999998,4,0.030067411135766393
GLU-40min,R326H,8,24,162.12959999999998,0,0.0
GLU-40min,R326H,8,26,147.42,3,0.020350020350020353
GLU-40min,R326H,8,27,134.9136,0,0.0
GLU-40min,R326H,8,28,95.0616,0,0.0
GLU-40min,R326H,8,29,160.4448,0,0.0
GLU-40min,R326H,8,30,242.35199999999998,2,0.008252459232851391
GLU-40min,R326H,8,31,194.82119999999998,2,0.010265823226630368
GLU-40min,R326H,8,32,142.8516,2,0.014000543221076979
GLU-40min,R326H,8,33,125.22599999999998,1,0.007985562103716481
GLU-40min,R326H,8,34,99.30599999999998,1,0.01006988500191328
GLU-40min,R326H,8,35,214.22879999999998,3,0.01400371938786942
GLU-40min,R326H,8,36,176.9688,3,0.01695214071632966
GLU-40min,R326H,8,37,87.15599999999999,0,0.0
GLU-40min,R326H,8,38,103.2264,1,0.00968744429719529
GLU-40min,R326H,8,39,43.54559999999999,0,0.0
GLU-40min,R326H,8,40,101.44439999999999,1,0.009857616586031364
GLU-40min,R326H,8,41,151.47,0,0.0
GLU-40min,R326H,8,42,82.1016,1,0.012180030596236856
GLU-40min,R326H,8,43,204.2496,1,0.004895970420505108
GLU-40min,R326H,8,44,123.9948,0,0.0
GLU-40min,R326H,8,45,187.3692,6,0.032022338783535394
GLU-40min,R326H,8,46,188.21159999999998,1,0.005313168795122086
GLU-40min,R326H,8,47,133.3584,0,0.0
GLU-40min,R326H,8,48,155.9736,2,0.012822682812988864
GLU-40min,R326H,8,49,187.92,1,0.005321413367390379
GLU-40min,R326H,8,50,139.7088,1,0.007157745252983349
GLU-40min,R326H,8,51,248.0544,0,0.0
GLU-40min,R326H,8,52,192.9096,1,0.005183775198331238
GLU-40min,R326H,8,53,87.28559999999999,0,0.0
GLU-40min,R326H,8,54,91.0116,0,0.0
GLU-40min,R326H,8,55,138.60719999999998,2,0.014429264857814027
GLU-40min,R326H,8,56,140.13,1,0.0071362306429743816
GLU-40min,R326H,8,58,250.16039999999998,2,0.007994870491092916
GLU-40min,R326H,8,59,146.5452,1,0.00682383319276237
GLU-40min,R326H,8,60,121.56479999999999,0,0.0
GLU-40min,R326H,8,61,179.69039999999998,2,0.011130255149969058
GLU-40min,R326H,8,62,107.69759999999998,0,0.0
GLU-40min,R326H,8,63,244.62,6,0.02452783909737552
GLU-40min,R326H,8,64,122.56919999999998,2,0.01631731299543442
GLU-40min,R326H,8,65,152.3124,0,0.0
GLU-40min,R326H,8,67,154.74239999999998,0,0.0
GLU-40min,R326H,8,68,216.04319999999998,5,0.023143519444259297
GLU-40min,R326H,8,69,153.738,2,0.013009145429236754
GLU-40min,R326H,8,70,243.3564,3,0.012327598534495086
GLU-40min,R326H,8,72,223.17119999999997,1,0.004480864914469251
GLU-40min,R326H,8,73,279.5148,7,0.0250433966287295
